V,Tipo dato 1,Tiempo1(ms),V2,Tipo dato 2,Tiempo 2 (ms),V3,Tipo dato 3,Tiempo 3 (ms),,,,,,
Concurrente,CifrarRSA,0.0416,Concurrente,CifrarAES,0.0554,Concurrente,CifrarRSA,0.0454,,,,,,
Concurrente,VerificarHMAC,0.0566,Concurrente,Firmar,0.3247,Concurrente,VerificarHMAC,0.0229,,,,,,
Concurrente,VerificarHMAC,0.027,Concurrente,CifrarRSA,0.048,Concurrente,VerificarHMAC,0.0322,,,,,,
Concurrente,Firmar,0.211,Concurrente,CifrarAES,0.0399,Concurrente,Firmar,0.2666,,,,,,
Concurrente,CifrarAES,0.0524,Concurrente,CifrarRSA,0.0512,Concurrente,CifrarAES,0.079,,,,,,
Concurrente,CifrarRSA,0.0434,Concurrente,VerificarHMAC,0.0405,Concurrente,CifrarRSA,0.0476,,,,,,
Concurrente,VerificarHMAC,0.0281,Concurrente,VerificarHMAC,0.0216,Concurrente,VerificarHMAC,0.0232,,,,,,
Concurrente,VerificarHMAC,0.0294,Concurrente,VerificarHMAC,0.039,Concurrente,VerificarHMAC,0.0326,,,,,,
Concurrente,Firmar,0.1955,Concurrente,Firmar,0.214,Concurrente,Firmar,0.2111,,,,,,
Concurrente,CifrarAES,0.0403,Concurrente,CifrarAES,0.0438,Concurrente,CifrarAES,0.0475,,,,,,
Concurrente,CifrarRSA,0.0398,Concurrente,CifrarRSA,0.0394,Concurrente,CifrarRSA,0.0419,,,,,,
Concurrente,VerificarHMAC,0.0253,Concurrente,VerificarHMAC,0.0238,Concurrente,VerificarHMAC,0.0197,,,,,,
Concurrente,VerificarHMAC,0.0241,Concurrente,VerificarHMAC,0.0253,Concurrente,VerificarHMAC,0.0222,,,,,,
Concurrente,Firmar,0.2413,Concurrente,Firmar,0.286,Concurrente,Firmar,0.236,,,,,,
Concurrente,CifrarAES,0.0567,Concurrente,CifrarAES,0.0568,Concurrente,CifrarAES,0.06,,,,,,
Concurrente,CifrarRSA,0.042,Concurrente,CifrarRSA,0.0639,Concurrente,CifrarRSA,0.052,,,,,,
Concurrente,VerificarHMAC,0.0258,Concurrente,VerificarHMAC,0.0183,Concurrente,VerificarHMAC,0.022,,,,,,
Concurrente,VerificarHMAC,0.0599,Concurrente,VerificarHMAC,0.0474,Concurrente,VerificarHMAC,0.1342,,,,,,
Concurrente,Firmar,0.2605,Concurrente,Firmar,0.2503,Concurrente,Firmar,0.2654,,,,,,
Concurrente,CifrarAES,0.0705,Concurrente,CifrarAES,0.0606,Concurrente,CifrarAES,0.0405,,,,,,
Concurrente,CifrarRSA,0.0622,Concurrente,CifrarRSA,0.0707,Concurrente,CifrarRSA,0.0786,,,,,,
Concurrente,VerificarHMAC,0.0581,Concurrente,VerificarHMAC,0.0611,Concurrente,VerificarHMAC,0.0264,,,,,,
